season,njcaa_season,team,team_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2024,2023-24,St. Cloud Tech,stcloudtechnicalcommunitycollege,188,14.0,9.0,4.0,1.0,0.929,112.0,93.0,70.0,0.753,59.68,57.0
2024,2023-24,St. Johns River State,stjohnsriverstatecollege,501,36.0,20.0,15.0,6.0,0.854,290.0,190.0,134.0,0.705,242.32,140.0
2024,2023-24,St. Louis,stlouiscommunitycollege,318,0.0,7.0,18.0,2.0,0.926,199.0,158.0,140.0,0.886,169.17,120.0
2024,2023-24,St. Petersburg,stpetersburgcollege,375,30.0,12.0,20.0,6.0,0.842,281.0,216.0,188.0,0.87,212.75,169.0
2024,2023-24,State College of Florida,statecollegeoffloridamanateesaraso,416,31.0,18.0,13.0,5.0,0.861,235.0,176.0,143.0,0.812,189.85999999999999,175.0
2024,2023-24,State Fair,statefaircommunitycollege,378,31.0,13.0,12.0,1.0,0.962,257.0,226.0,184.0,0.814,256.09000000000003,119.0
2024,2023-24,Suffolk County,suffolkcc,216,16.0,9.0,7.0,0.0,1.0,98.0,97.0,72.0,0.742,83.41,80.0
2024,2023-24,Sullivan County,sullivancountycommunitycollege,207,15.0,8.0,7.0,3.0,0.833,114.0,82.0,63.0,0.768,88.3,57.0
2024,2023-24,Surry,surrycommunitycollege,334,2.0,19.0,4.0,7.0,0.767,160.0,120.0,89.0,0.742,160.34,121.0
2024,2023-24,Sussex County,sussexcountycommunitycollege,231,17.0,9.0,7.0,3.0,0.842,148.0,102.0,63.0,0.618,112.38,69.0
2024,2023-24,Tallahassee,tallahasseecommunitycollege,467,34.0,18.0,15.0,3.0,0.917,357.0,258.0,185.0,0.717,220.0,157.0
2024,2023-24,Temple,templecollege,421,24.0,14.0,12.0,5.0,0.839,245.0,186.0,138.0,0.742,210.39,138.0
2024,2023-24,Terra State,terrastate,186,3.0,2.0,9.0,0.0,1.0,122.0,141.0,94.0,0.667,109.1,76.0
2024,2023-24,Three Rivers,threeriverscommunitycollegemo,429,35.0,25.0,12.0,3.0,0.925,282.0,194.0,155.0,0.799,230.23,127.0
2024,2023-24,Tompkins Cortland,tompkinscortlandcommunitycollege,55,4.0,0.0,4.0,0.0,1.0,34.0,42.0,27.0,0.643,48.230000000000004,28.0
2024,2023-24,Trinidad State,trinidadstatecollege,337,0.0,7.0,10.0,2.0,0.895,233.0,253.0,191.0,0.755,243.01,151.0
2024,2023-24,Triton,tritoncollege,292,20.0,7.0,13.0,3.0,0.87,141.0,128.0,106.0,0.828,119.98,107.0
2024,2023-24,Tyler,tylerjuniorcollege,496,34.0,27.0,9.0,5.0,0.878,248.0,202.0,171.0,0.847,257.08,203.0
2024,2023-24,UA Rich Mountain,uarichmountain,488,29.0,11.0,17.0,2.0,0.933,243.0,221.0,165.0,0.747,223.26,128.0
2024,2023-24,UConn Avery Point,universityofconnecticutataverypoint,140,10.0,3.0,6.0,0.0,1.0,79.0,71.0,47.0,0.662,56.71,43.0
2024,2023-24,USC Lancaster,usclancaster,464,19.0,17.0,16.0,1.0,0.971,267.0,239.0,204.0,0.854,261.37,151.0
2024,2023-24,USC Salkehatchie,uscsalkehatchie,380,20.0,1.0,12.0,1.0,0.929,256.0,245.0,203.0,0.829,236.14000000000001,141.0
2024,2023-24,USC Sumter,uscsumter,432,28.0,17.0,15.0,7.0,0.821,234.0,179.0,157.0,0.877,226.77,141.0
2024,2023-24,USC Union,uscunion,409,10.0,14.0,13.0,3.0,0.9,193.0,168.0,143.0,0.851,188.42000000000002,117.0
2024,2023-24,Utah State Eastern,utahstateeastern,393,29.0,13.0,14.0,1.0,0.964,206.0,154.0,127.0,0.825,159.32,144.0
2024,2023-24,Vernon,vernoncollege,403,32.0,19.0,12.0,7.0,0.816,233.0,204.0,158.0,0.775,187.7,150.0
2024,2023-24,Vincennes,vincennesuniversity,464,28.0,8.0,19.0,3.0,0.9,255.0,236.0,177.0,0.75,280.45,170.0
2024,2023-24,Virginia Peninsula CC,virginiapeninsulacc,341,19.0,2.0,7.0,1.0,0.9,223.0,212.0,168.0,0.792,223.63,127.0
2024,2023-24,Volunteer State,volunteerstatecommunitycollege,325,20.0,9.0,11.0,4.0,0.833,162.0,164.0,130.0,0.793,201.4,147.0
2024,2023-24,Wabash Valley,wabashvalleycollege,451,29.0,13.0,14.0,4.0,0.871,237.0,187.0,139.0,0.743,217.31,123.0
2024,2023-24,Wake Tech,waketechnicalcommunitycollege,487,33.0,16.0,17.0,1.0,0.971,317.0,271.0,163.0,0.601,277.88,164.0
2024,2023-24,Wallace State,wallacestatecommunitycollegehancevil,344,26.0,6.0,12.0,0.0,1.0,181.0,131.0,103.0,0.786,129.21,118.0
