season,njcaa_division,team,team_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2018,div1,El Paso,elpasocommunitycollege,1736,1721.0,1546.0,278.0,454.0,77.0,28.0,33.0,232.0,55.0,19.0,113.0,382.0,686.0,42.0,6.0,14.0,138.0,0.0,0.0,0.0,,0.294,0.354,0.533,0.887,93.0,0.368,0.425,0.019,0.222,0.066,0.156,0.296
2018,div1,Enterprise State,enterprisestatecommunitycollege,1294,1590.0,1340.0,232.0,364.0,69.0,1.0,17.0,188.0,66.0,15.0,163.0,282.0,486.0,41.0,31.0,15.0,87.0,0.0,0.0,0.0,,0.272,0.357,0.428,0.785,82.0,0.329,0.39,0.011,0.177,0.103,0.074,0.578
2018,div1,Florence-Darlington Tech,florencedarlingtontechnicalcollege,1980,1972.0,1635.0,441.0,527.0,102.0,17.0,73.0,400.0,71.0,7.0,206.0,363.0,882.0,87.0,22.0,22.0,192.0,14.0,29.0,73.0,0.397,0.322,0.416,0.657,1.073,113.0,0.372,0.493,0.037,0.184,0.104,0.08,0.567
2018,div1,Florida SouthWestern State,floridasouthwesternstatecollege,1456,2055.0,1800.0,299.0,526.0,90.0,12.0,31.0,250.0,54.0,20.0,175.0,353.0,733.0,37.0,24.0,19.0,133.0,9.0,50.0,76.0,0.658,0.292,0.359,0.481,0.84,88.0,0.345,0.379,0.015,0.172,0.085,0.087,0.496
2018,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,1100,1551.0,1281.0,206.0,341.0,52.0,8.0,6.0,176.0,62.0,19.0,199.0,280.0,427.0,43.0,14.0,14.0,66.0,1.0,0.0,0.0,,0.266,0.376,0.385,0.761,80.0,0.332,0.347,0.004,0.181,0.128,0.053,0.711
2018,div1,Fort Scott,fortscottcommunitycollege,1980,1979.0,1659.0,463.0,587.0,111.0,12.0,86.0,428.0,86.0,11.0,241.0,367.0,980.0,37.0,20.0,22.0,209.0,5.0,34.0,38.0,0.895,0.354,0.437,0.717,1.154,121.0,0.408,0.484,0.043,0.185,0.122,0.063,0.657
2018,div1,Frank Phillips,frankphillipscollege,2128,1935.0,1617.0,408.0,500.0,108.0,27.0,36.0,336.0,64.0,26.0,211.0,376.0,770.0,75.0,16.0,16.0,171.0,0.0,26.0,24.0,1.083,0.309,0.406,0.582,0.988,104.0,0.38,0.496,0.019,0.194,0.109,0.085,0.561
2018,div1,Frontier,frontiercommunitycollege,1443,1632.0,1398.0,274.0,417.0,93.0,16.0,14.0,228.0,103.0,21.0,142.0,318.0,584.0,65.0,16.0,11.0,123.0,4.0,26.0,16.0,1.625,0.298,0.382,0.506,0.888,93.0,0.374,0.426,0.009,0.195,0.087,0.108,0.447
2018,div1,Galveston,galvestoncollege,1740,1693.0,1501.0,240.0,408.0,66.0,13.0,7.0,198.0,28.0,9.0,179.0,335.0,521.0,8.0,2.0,3.0,86.0,1.0,49.0,45.0,1.089,0.272,0.351,0.404,0.755,79.0,0.345,0.396,0.004,0.198,0.106,0.092,0.534
2018,div1,Garden City,gardencitycommunitycollege,1736,2097.0,1679.0,400.0,487.0,101.0,16.0,47.0,352.0,77.0,12.0,259.0,375.0,761.0,84.0,59.0,16.0,164.0,22.0,58.0,59.0,0.983,0.29,0.396,0.551,0.947,99.0,0.346,0.451,0.022,0.179,0.124,0.055,0.691
2018,div1,Georgia Highlands,georgiahighlandscollege,1768,1939.0,1609.0,343.0,499.0,106.0,10.0,32.0,326.0,63.0,12.0,222.0,341.0,721.0,67.0,14.0,27.0,148.0,32.0,360.0,386.0,0.933,0.31,0.406,0.54,0.946,99.0,0.37,0.411,0.017,0.176,0.114,0.062,0.651
2018,div1,Gordon State,gordonstatecollege,1624,2034.0,1627.0,368.0,477.0,82.0,10.0,35.0,327.0,104.0,21.0,255.0,359.0,684.0,94.0,25.0,33.0,127.0,2.0,19.0,24.0,0.792,0.293,0.406,0.498,0.904,95.0,0.349,0.421,0.017,0.176,0.125,0.051,0.71
2018,div1,Grayson,graysoncollege,2006,2110.0,1744.0,510.0,607.0,114.0,12.0,83.0,458.0,44.0,16.0,280.0,351.0,994.0,49.0,15.0,22.0,209.0,25.0,17.0,3.0,5.667,0.348,0.444,0.69,1.134,119.0,0.393,0.501,0.039,0.166,0.133,0.033,0.798
2018,div1,Gulf Coast State,gulfcoaststatecollege,893,1738.0,1509.0,288.0,454.0,72.0,10.0,40.0,266.0,40.0,11.0,170.0,292.0,666.0,37.0,10.0,12.0,122.0,32.0,0.0,0.0,,0.301,0.38,0.522,0.902,95.0,0.348,0.399,0.023,0.168,0.098,0.07,0.582
2018,div1,Hagerstown,hagerstowncommunitycollege,1344,1794.0,1479.0,340.0,447.0,101.0,20.0,18.0,266.0,73.0,20.0,204.0,316.0,642.0,67.0,21.0,23.0,139.0,7.0,95.0,91.0,1.044,0.302,0.4,0.528,0.928,97.0,0.367,0.46,0.01,0.176,0.114,0.062,0.646
2018,div1,Harford,harfordcommunitycollege,2394,2258.0,1704.0,669.0,539.0,155.0,16.0,112.0,583.0,234.0,26.0,422.0,590.0,1062.0,97.0,4.0,31.0,283.0,16.0,207.0,340.0,0.609,0.316,0.469,0.789,1.258,132.0,0.413,0.589,0.05,0.261,0.187,0.074,0.715
2018,div1,Highland (KS),highlandcommunitycollegekansas,1782,1850.0,1526.0,326.0,406.0,75.0,9.0,36.0,277.0,37.0,11.0,208.0,482.0,607.0,74.0,25.0,17.0,120.0,20.0,282.0,277.0,1.018,0.266,0.372,0.476,0.848,89.0,0.361,0.445,0.019,0.261,0.112,0.149,0.432
2018,div1,Hill,hillcollege,1560,1737.0,1419.0,360.0,441.0,93.0,5.0,70.0,339.0,51.0,18.0,228.0,344.0,754.0,59.0,15.0,16.0,168.0,0.0,0.0,0.0,,0.311,0.419,0.65,1.069,112.0,0.363,0.441,0.04,0.198,0.131,0.067,0.663
2018,div1,Hillsborough,hillsboroughcommunitycollege,1425,2231.0,1921.0,381.0,595.0,110.0,22.0,22.0,345.0,154.0,53.0,205.0,343.0,815.0,63.0,13.0,29.0,154.0,0.0,0.0,0.0,,0.31,0.387,0.504,0.891,94.0,0.362,0.427,0.01,0.154,0.092,0.062,0.598
2018,div1,Howard (TX),howardcollege,2223,2094.0,1702.0,580.0,623.0,131.0,20.0,127.0,527.0,108.0,25.0,284.0,365.0,1175.0,72.0,19.0,17.0,278.0,0.0,0.0,0.0,,0.366,0.468,0.854,1.322,139.0,0.404,0.532,0.061,0.174,0.136,0.038,0.778
2018,div1,Hutchinson,hutchinsoncommunitycollege,2480,2411.0,1960.0,545.0,627.0,144.0,34.0,86.0,500.0,56.0,15.0,300.0,463.0,1097.0,88.0,36.0,27.0,264.0,32.0,422.0,416.0,1.014,0.32,0.421,0.694,1.115,117.0,0.376,0.494,0.036,0.192,0.124,0.068,0.648
2018,div1,Independence,independencecommunitycollege,1710,1888.0,1602.0,379.0,487.0,97.0,17.0,38.0,335.0,38.0,17.0,197.0,348.0,732.0,42.0,31.0,16.0,152.0,2.0,43.0,34.0,1.265,0.304,0.385,0.552,0.937,98.0,0.364,0.496,0.02,0.184,0.104,0.08,0.566
2018,div1,Indian Hills,indianhillscommunitycollege,891,1979.0,1615.0,419.0,475.0,100.0,32.0,44.0,376.0,76.0,11.0,246.0,370.0,771.0,89.0,13.0,16.0,176.0,7.0,53.0,73.0,0.726,0.294,0.409,0.586,0.995,105.0,0.354,0.49,0.022,0.187,0.124,0.063,0.665
2018,div1,Indian River State,indianriverstatecollege,1248,1739.0,1454.0,245.0,394.0,61.0,12.0,28.0,212.0,59.0,18.0,197.0,365.0,563.0,42.0,31.0,15.0,101.0,0.0,0.0,0.0,,0.271,0.364,0.457,0.821,86.0,0.34,0.359,0.016,0.21,0.113,0.097,0.54
2018,div1,Iowa Western,iowawesterncommunitycollege,2301,2028.0,1624.0,498.0,573.0,137.0,33.0,37.0,437.0,84.0,13.0,250.0,238.0,887.0,98.0,25.0,31.0,207.0,29.0,372.0,431.0,0.863,0.353,0.454,0.674,1.128,118.0,0.388,0.521,0.018,0.117,0.123,-0.006,1.05
2018,div1,Jackson State,jacksonstatecommunitycollege,1272,1733.0,1443.0,305.0,376.0,78.0,14.0,56.0,280.0,36.0,17.0,201.0,406.0,650.0,75.0,3.0,11.0,148.0,17.0,208.0,303.0,0.686,0.261,0.376,0.553,0.929,98.0,0.323,0.418,0.032,0.234,0.116,0.118,0.495
2018,div1,Jefferson (MO),jeffersoncollege,2992,2440.0,1962.0,619.0,683.0,156.0,13.0,83.0,558.0,89.0,22.0,357.0,442.0,1114.0,78.0,13.0,30.0,252.0,9.0,37.0,35.0,1.057,0.348,0.458,0.696,1.154,121.0,0.409,0.518,0.034,0.181,0.146,0.035,0.808
2018,div1,John A. Logan,johnalogancollege,1914,2003.0,1636.0,398.0,503.0,116.0,12.0,40.0,337.0,97.0,22.0,225.0,368.0,763.0,101.0,22.0,19.0,168.0,19.0,16.0,19.0,0.842,0.307,0.414,0.569,0.983,103.0,0.371,0.454,0.02,0.184,0.112,0.072,0.611
