season,njcaa_season,team,team_id,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2023,2022-23,Dodge City,dodgecitycommunitycollege,26.0,13.0,13.0,3.0,171.9,223.0,187.0,156.0,125.0,192.0,14.0,0.5,8.168,69.0,2.024,11.675,0.733,6.545,10.052,1.536,9.791
2023,2022-23,DuPage,collegeofdupage,9.0,7.0,2.0,1.0,54.9,63.0,43.0,41.0,27.0,55.0,4.0,0.778,6.721,84.0,1.639,10.328,0.656,4.426,9.016,2.037,7.049
2023,2022-23,Dyersburg State,dyersburgstatecommunitycollege,24.0,15.0,9.0,4.0,171.4,184.0,128.0,116.0,102.0,233.0,15.0,0.625,6.091,93.0,1.669,9.662,0.788,5.356,12.235,2.284,6.721
2023,2022-23,East Central (MO),eastcentralcollege,15.0,7.0,6.0,2.0,84.4,122.0,110.0,81.0,63.0,82.0,0.0,0.538,8.637,66.0,2.192,13.009,0.0,6.718,8.744,1.302,11.73
2023,2022-23,East Central (MS),eastcentralcommunitycollege,4.0,10.0,7.0,2.0,145.1,167.0,123.0,96.0,93.0,161.0,6.0,0.588,5.955,95.0,1.792,10.358,0.372,5.768,9.986,1.731,7.629
2023,2022-23,East Georgia State,eastgeorgiacollege,8.0,12.0,10.0,0.0,151.6,171.0,136.0,100.0,100.0,179.0,10.0,0.545,5.937,96.0,1.788,10.152,0.594,5.937,10.627,1.79,8.074
2023,2022-23,East Mississippi,eastmississippicommunitycollege,23.0,12.0,11.0,7.0,152.0,164.0,146.0,122.0,111.0,174.0,20.0,0.522,7.224,79.0,1.809,9.711,1.184,6.572,10.303,1.568,8.645
2023,2022-23,Eastern Arizona,easternarizonacollege,26.0,13.0,13.0,4.0,184.0,168.0,92.0,71.0,87.0,187.0,0.0,0.5,3.473,163.0,1.386,8.217,0.0,4.255,9.147,2.149,4.5
2023,2022-23,Eastern Florida State,easternfloridastatecollege,28.0,11.0,16.0,2.0,218.0,236.0,167.0,133.0,109.0,193.0,24.0,0.407,5.491,103.0,1.583,9.743,0.991,4.5,7.968,1.771,6.894
2023,2022-23,Eastern Oklahoma State,easternoklahomastatecollege,22.0,14.0,8.0,3.0,157.4,160.0,127.0,92.0,84.0,180.0,23.0,0.636,5.26,108.0,1.55,9.149,1.315,4.803,10.292,2.143,7.262
2023,2022-23,Edison State,edisoncommunitycollege,9.0,4.0,5.0,0.0,52.8,85.0,92.0,56.0,50.0,44.0,5.0,0.444,9.545,59.0,2.557,14.489,0.852,8.523,7.5,0.88,15.682
2023,2022-23,El Paso,elpasocommunitycollege,26.0,15.0,10.0,7.0,187.3,218.0,145.0,122.0,99.0,266.0,18.0,0.6,5.862,97.0,1.692,10.475,0.865,4.757,12.782,2.687,6.967
2023,2022-23,Elgin,elgincommunitycollege,4.0,0.0,4.0,0.0,23.9,30.0,34.0,33.0,26.0,26.0,2.0,0.0,12.427,46.0,2.343,11.297,0.753,9.791,9.791,1.0,12.803
2023,2022-23,Ellsworth,ellsworthcommunitycollege,13.0,6.0,6.0,3.0,77.8,75.0,77.0,55.0,76.0,104.0,7.0,0.5,6.362,89.0,1.941,8.676,0.81,8.792,12.031,1.368,8.907
2023,2022-23,Enterprise State,enterprisestatecommunitycollege,0.0,12.0,12.0,4.0,147.4,239.0,213.0,170.0,95.0,116.0,19.0,0.5,10.38,55.0,2.266,14.593,1.16,5.801,7.083,1.221,13.005
2023,2022-23,Erie,eriecommunitycollege,11.0,3.0,7.0,0.0,78.3,95.0,93.0,61.0,53.0,78.0,6.0,0.3,7.011,81.0,1.89,10.92,0.69,6.092,8.966,1.472,10.69
2023,2022-23,Fayetteville Tech,fayettevilletechnicalcommunitycollege,17.0,3.0,12.0,0.0,129.7,132.0,113.0,84.0,97.0,143.0,8.0,0.2,5.829,97.0,1.766,9.16,0.555,6.731,9.923,1.474,7.841
2023,2022-23,Finger Lakes,fingerlakescommunitycollege,12.0,11.0,2.0,2.0,87.3,74.0,44.0,37.0,51.0,97.0,1.0,0.846,3.814,149.0,1.432,7.629,0.103,5.258,10.0,1.902,4.536
2023,2022-23,Florence-Darlington Tech,florencedarlingtontechnicalcollege,28.0,23.0,4.0,8.0,186.0,175.0,106.0,88.0,77.0,202.0,18.0,0.852,4.258,133.0,1.355,8.468,0.871,3.726,9.774,2.623,5.129
2023,2022-23,Florida SouthWestern State,floridasouthwesternstatecollege,30.0,19.0,11.0,6.0,218.3,226.0,159.0,125.0,120.0,231.0,21.0,0.633,5.153,110.0,1.585,9.317,0.866,4.947,9.524,1.925,6.555
2023,2022-23,Florida State Jacksonville,floridastatecollegeatjacksonville,29.0,7.0,22.0,3.0,199.3,263.0,220.0,167.0,133.0,191.0,18.0,0.241,7.541,75.0,1.987,11.877,0.813,6.006,8.625,1.436,9.935
2023,2022-23,Fort Scott,fortscottcommunitycollege,84.0,52.0,9.0,0.0,345.0,459.0,353.0,306.0,266.0,238.0,15.0,0.852,7.983,71.0,2.101,11.974,0.391,6.939,6.209,0.895,9.209
2023,2022-23,Frank Phillips,frankphillipscollege,0.0,10.0,12.0,7.0,142.0,190.0,128.0,113.0,94.0,141.0,16.0,0.455,7.162,79.0,2.0,12.042,1.014,5.958,8.937,1.5,8.113
2023,2022-23,Frederick,frederickcommunitycollege,13.0,10.0,3.0,5.0,85.3,70.0,63.0,45.0,49.0,90.0,8.0,0.769,4.748,120.0,1.395,7.386,0.844,5.17,9.496,1.837,6.647
2023,2022-23,Frontier,frontiercommunitycollege,11.0,11.0,9.0,1.0,120.5,105.0,101.0,76.0,96.0,153.0,2.0,0.55,5.676,100.0,1.668,7.842,0.149,7.17,11.427,1.594,7.544
2023,2022-23,Galveston,galvestoncollege,31.0,13.0,16.0,2.0,209.3,218.0,167.0,146.0,126.0,243.0,12.0,0.448,6.278,90.0,1.644,9.374,0.516,5.418,10.449,1.929,7.181
2023,2022-23,Garden City,gardencitycommunitycollege,20.0,4.0,17.0,3.0,160.0,241.0,232.0,197.0,156.0,144.0,28.0,0.19,11.081,51.0,2.481,13.556,1.575,8.775,8.1,0.923,13.05
2023,2022-23,Garrett,garrettcollege,10.0,2.0,6.0,0.0,61.2,100.0,65.0,42.0,25.0,54.0,5.0,0.25,6.176,92.0,2.042,14.706,0.735,3.676,7.941,2.16,9.559
2023,2022-23,Gaston College,gastoncollege,24.0,22.0,3.0,3.0,185.3,152.0,89.0,70.0,72.0,233.0,9.0,0.88,3.4,167.0,1.209,7.383,0.437,3.497,11.317,3.236,4.323
2023,2022-23,GateWay (AZ),gatewaycommunitycollegeaz,25.0,13.0,11.0,7.0,194.2,193.0,123.0,80.0,97.0,204.0,5.0,0.542,3.708,153.0,1.493,8.944,0.232,4.495,9.454,2.103,5.7
2023,2022-23,Genesee,geneseecommunitycollege,0.0,4.0,0.0,0.0,32.3,23.0,19.0,14.0,19.0,29.0,0.0,1.0,3.901,145.0,1.3,6.409,0.0,5.294,8.08,1.526,5.294
2023,2022-23,Georgia Highlands,georgiahighlandscollege,28.0,19.0,5.0,4.0,185.0,205.0,143.0,117.0,73.0,171.0,11.0,0.792,5.692,100.0,1.503,9.973,0.535,3.551,8.319,2.342,6.957
2023,2022-23,Glen Oaks,glenoakscommunitycollege,3.0,3.0,8.0,0.0,68.2,88.0,81.0,74.0,61.0,55.0,5.0,0.273,9.765,58.0,2.185,11.613,0.66,8.05,7.258,0.902,10.689
2023,2022-23,Glendale,glendalecommunitycollege,31.0,21.0,10.0,8.0,239.7,218.0,150.0,111.0,132.0,244.0,9.0,0.677,4.168,136.0,1.46,8.185,0.338,4.956,9.161,1.848,5.632
2023,2022-23,Gordon State,gordonstatecollege,26.0,11.0,15.0,1.0,160.0,178.0,174.0,126.0,162.0,183.0,14.0,0.423,7.087,80.0,2.125,10.013,0.788,9.112,10.294,1.13,9.788
2023,2022-23,Grand Rapids,grandrapidscommunitycollege,8.0,1.0,7.0,0.0,39.5,67.0,70.0,48.0,38.0,31.0,7.0,0.125,10.937,52.0,2.658,15.266,1.595,8.658,7.063,0.816,15.949
