date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff_x,game_win_loss_x,game_id_x,game_score_diff_y,game_win_loss_y,game_id_y
Mar 18,home,Utah State Eastern,L,10-3,10.0,3.0,7.0,win,20160318_khib,1.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,1.0,1.0,,,1.0,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 19,home,Utah State Eastern,W,15-0,15.0,0.0,15.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 19,home,Utah State Eastern,L,13-5,13.0,5.0,8.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 25,home,Southern Nevada,L,4-0,4.0,0.0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 25,home,Southern Nevada,L,6-3,6.0,3.0,3.0,win,20160325_teap,1.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,1.0,,1.0,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 26,home,Southern Nevada,L,12-0,12.0,0.0,12.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Mar 26,home,Southern Nevada,L,12-2,12.0,2.0,10.0,win,20160326_87r3,1.0,1.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,1.0,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Apr 1,home,Salt Lake,L,9-0,9.0,0.0,9.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Apr 1,home,Salt Lake,W,2-1,2.0,1.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Apr 2,home,Salt Lake,L,7-1,7.0,1.0,6.0,win,20160402_z8g8,1.0,0.0,0.0,,,,0.0,,1.0,,,,,,0.0,0.0,,,,,1.0,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Apr 2,home,Salt Lake,W,6-2,6.0,2.0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Apr 8,home,Western Nevada,L,5-1,5.0,1.0,4.0,win,20160408_6661,1.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,1.0,,,1.0,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Apr 8,home,Western Nevada,W,7-3,7.0,3.0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Apr 9,home,Western Nevada,W,6-4,6.0,4.0,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Apr 9,home,Western Nevada,L,10-2,10.0,2.0,8.0,win,20160409_t7g4,1.0,0.0,1.0,,,,0.0,,,1.0,,,,,1.0,0.0,,,,,1.0,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Apr 14,home,Colorado Northwestern,L,10-6,10.0,6.0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Apr 15,home,Colorado Northwestern,W,17-8,17.0,8.0,9.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
